Date,KOSPI 200,S&P 500,Nikkei 225,CSI 300
2018-02-27,316.83,2744.28,22389.86,4058.98
2018-02-28,312.86,2713.83,22068.24,4023.64
2018-03-01,312.86,2677.67,21724.47,4049.09
2018-03-02,308.35,2691.25,21181.64,4016.46
2018-03-05,304.58,2720.94,21042.09,4018.1
2018-03-06,310.46,2728.12,21417.76,4066.56
2018-03-07,311.14,2726.8,21252.72,4036.65
2018-03-08,314.78,2738.97,21368.07,4077.6
2018-03-09,317.67,2786.57,21469.2,4108.87
2018-03-12,320.7,2783.02,21824.03,4127.67
2018-03-13,322.98,2765.31,21968.1,4091.25
2018-03-14,321.99,2749.48,21777.29,4073.34
2018-03-15,322.74,2747.33,21803.95,4096.16
2018-03-16,322.88,2752.01,21676.51,4056.42
2018-03-19,320.35,2712.92,21480.9,4074.25
2018-03-20,321.79,2716.94,21380.97,4077.7
2018-03-21,321.6,2711.93,21380.97,4061.05
2018-03-22,323.32,2643.69,21591.99,4020.35
2018-03-23,312.42,2588.26,20617.86,3904.94
2018-03-26,314.89,2658.55,20766.1,3879.89
2018-03-27,316.34,2612.62,21317.32,3913.27
2018-03-28,311.81,2605.0,21031.31,3842.72
2018-03-29,313.82,2640.87,21159.08,3894.05
2018-03-30,314.61,2640.87,21454.3,3898.5
2018-04-02,314.0,2581.88,21388.58,3886.92
2018-04-03,313.38,2614.45,21292.29,3862.48
2018-04-04,308.54,2644.69,21319.55,3854.86
2018-04-05,313.04,2662.84,21645.42,3854.86
2018-04-06,311.61,2604.47,21567.52,3854.86
2018-04-09,313.45,2613.16,21678.26,3852.93
2018-04-10,313.94,2656.87,21794.32,3927.17
2018-04-11,312.94,2642.19,21687.1,3938.34
2018-04-12,313.22,2663.99,21660.28,3898.64
2018-04-13,314.86,2656.3,21778.74,3871.14
2018-04-16,315.17,2677.84,21835.53,3808.86
2018-04-17,314.64,2706.39,21847.59,3748.64
2018-04-18,318.64,2708.64,22158.2,3766.28
2018-04-19,320.12,2693.13,22191.18,3811.84
2018-04-20,317.89,2670.14,22162.24,3760.85
2018-04-23,317.89,2670.29,22088.04,3766.33
2018-04-24,315.86,2634.56,22278.12,3843.49
2018-04-25,313.99,2639.4,22215.32,3828.7
2018-04-26,318.08,2666.94,22319.61,3755.49
2018-04-27,320.8,2669.91,22467.87,3756.88
2018-04-30,323.56,2648.05,22467.87,3756.88
2018-05-01,323.56,2654.8,22508.03,3756.88
2018-05-02,322.53,2635.67,22472.78,3763.65
2018-05-03,320.55,2629.73,22472.78,3793.0
2018-05-04,316.75,2663.42,22472.78,3774.6
2018-05-07,316.75,2672.63,22467.16,3834.19
2018-05-08,315.87,2671.92,22508.69,3878.68
2018-05-09,314.42,2697.79,22408.88,3871.62
2018-05-10,317.31,2723.07,22497.18,3893.06
2018-05-11,318.51,2727.72,22758.48,3872.84
2018-05-14,317.72,2730.13,22865.86,3909.29
2018-05-15,314.94,2711.45,22818.02,3924.1
2018-05-16,315.97,2722.46,22717.23,3892.84
2018-05-17,314.29,2720.13,22838.37,3864.05
2018-05-18,315.37,2712.97,22930.36,3903.06
2018-05-21,316.25,2733.01,23002.37,3921.24
2018-05-22,316.25,2724.44,22960.34,3906.21
2018-05-23,318.31,2733.29,22689.74,3854.58
2018-05-24,317.48,2727.76,22437.01,3827.22
2018-05-25,318.05,2721.33,22450.79,3816.5
2018-05-28,318.99,2721.33,22481.09,3833.26
2018-05-29,316.2,2689.86,22358.43,3804.01
2018-05-30,309.26,2724.01,22018.52,3723.37
2018-05-31,310.92,2705.27,22201.82,3802.38
2018-06-01,313.22,2734.62,22171.35,3770.59
2018-06-04,314.84,2746.87,22475.94,3807.58
2018-06-05,315.76,2748.8,22539.54,3845.32
2018-06-06,315.76,2772.35,22625.73,3837.35
2018-06-07,317.67,2770.37,22823.26,3831.01
2018-06-08,314.97,2779.03,22694.5,3779.62
2018-06-11,317.22,2782.0,22804.04,3779.98
2018-06-12,316.84,2786.85,22878.35,3825.95
2018-06-13,316.84,2775.63,22966.38,3788.34
2018-06-14,311.2,2782.49,22738.61,3773.37
2018-06-15,308.73,2779.66,22851.75,3753.43
2018-06-18,305.35,2773.75,22680.33,3753.43
2018-06-19,301.35,2762.59,22278.48,3621.12
2018-06-20,304.02,2767.32,22555.43,3635.44
2018-06-21,301.02,2749.76,22693.04,3592.97
2018-06-22,303.69,2754.88,22516.83,3608.9
2018-06-25,303.37,2717.07,22338.15,3560.48
2018-06-26,302.76,2723.06,22342.0,3531.11
2018-06-27,302.25,2699.63,22271.77,3459.26
2018-06-28,298.26,2716.31,22270.39,3423.53
2018-06-29,299.66,2718.37,22304.51,3510.98
2018-07-02,292.93,2726.71,21811.93,3407.96
2018-07-03,293.35,2713.22,21785.54,3409.28
2018-07-04,292.26,2713.22,21717.04,3363.75
2018-07-05,291.63,2736.61,21546.99,3342.44
2018-07-06,293.11,2759.82,21788.14,3365.12
2018-07-09,295.2,2784.17,22052.18,3459.18
2018-07-10,296.19,2793.84,22196.89,3467.52
2018-07-11,294.43,2774.02,21932.21,3407.53
2018-07-12,294.41,2798.29,22187.96,3481.06
2018-07-13,298.65,2801.31,22597.35,3492.69
2018-07-16,297.37,2798.43,22597.35,3472.09
2018-07-17,296.88,2809.55,22697.36,3449.38
2018-07-18,296.47,2815.62,22794.19,3431.32
2018-07-19,295.9,2804.49,22764.68,3428.34
2018-07-20,296.95,2801.83,22697.88,3492.89
2018-07-23,294.56,2806.98,22396.99,3525.75
2018-07-24,295.49,2820.4,22510.48,3581.71
2018-07-25,294.85,2846.07,22614.25,3577.75
2018-07-26,296.95,2837.44,22586.87,3536.25
2018-07-27,297.78,2818.82,22712.75,3521.23
2018-07-30,297.29,2802.6,22544.84,3515.08
2018-07-31,297.45,2816.29,22553.72,3517.66
2018-08-01,298.69,2813.36,22746.7,3447.39
2018-08-02,293.55,2827.22,22512.53,3370.96
2018-08-03,295.61,2840.35,22525.18,3315.28
2018-08-06,295.24,2850.4,22507.32,3273.27
2018-08-07,297.18,2858.45,22662.74,3368.87
2018-08-08,297.19,2857.7,22644.31,3314.51
2018-08-09,297.41,2853.58,22598.39,3397.53
2018-08-10,293.64,2833.28,22298.08,3405.02
2018-08-13,289.85,2821.93,21857.43,3390.34
2018-08-14,291.08,2839.96,22356.08,3372.91
2018-08-15,291.08,2818.37,22204.22,3291.98
2018-08-16,288.24,2840.69,22192.04,3276.73
2018-08-17,288.57,2850.13,22270.38,3229.62
2018-08-20,288.61,2857.05,22199.0,3267.25
2018-08-21,291.93,2862.96,22219.73,3326.65
2018-08-22,293.0,2861.82,22362.55,3307.95
2018-08-23,294.29,2856.98,22410.82,3320.03
2018-08-24,295.54,2874.69,22601.77,3325.33
2018-08-27,296.83,2896.74,22799.64,3406.57
2018-08-28,297.22,2897.52,22813.47,3400.17
2018-08-29,298.05,2914.04,22848.22,3386.57
2018-08-30,298.05,2901.13,22869.5,3351.09
2018-08-31,300.07,2901.52,22865.15,3334.5
2018-09-03,297.49,2901.52,22707.38,3321.82
2018-09-04,298.8,2896.72,22696.9,3363.9
2018-09-05,294.96,2888.6,22580.83,3298.14
2018-09-06,294.28,2878.05,22487.94,3262.88
2018-09-07,292.86,2871.68,22307.06,3277.64
2018-09-10,293.7,2877.13,22373.09,3230.07
2018-09-11,292.46,2887.89,22664.69,3224.21
2018-09-12,292.35,2888.92,22604.61,3202.02
2018-09-13,292.42,2904.18,22821.32,3236.57
2018-09-14,297.29,2904.98,23094.67,3242.09
